# universe_version=538ced2e9326
# snapshot_date=2026-08-21
# captured_at_utc=2026-08-22T06:50:49Z
# definition=union of current S&P 500 and Nasdaq-100 constituents
# source_spx=https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
# source_ndx=https://api.nasdaq.com/api/quote/list-type/nasdaq100
# count=518
# note=survivorship bias is a pre-declared system limitation; historical index membership is NOT reconstructed
ticker,name,sector,industry,index,in_both_indices
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,SPX,False
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",SPX,True
ABBV,AbbVie,Health Care,Biotechnology,SPX,False
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SPX,True
ABT,Abbott Laboratories,Health Care,Health Care Equipment,SPX,False
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,SPX,False
ACN,Accenture,Information Technology,IT Consulting & Other Services,SPX,False
ADBE,Adobe Inc.,Information Technology,Application Software,SPX,True
ADI,Analog Devices,Information Technology,Semiconductors,SPX,True
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,SPX,False
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,SPX,True
ADSK,Autodesk,Information Technology,Application Software,SPX,True
AEE,Ameren,Utilities,Multi-Utilities,SPX,False
AEP,American Electric Power,Utilities,Electric Utilities,SPX,True
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,SPX,False
AFL,Aflac,Financials,Life & Health Insurance,SPX,False
AIG,American International Group,Financials,Multi-line Insurance,SPX,False
AIZ,Assurant,Financials,Multi-line Insurance,SPX,False
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,SPX,False
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,SPX,False
ALAB,"Astera Labs, Inc. Common Stock",,,NDX,False
ALB,Albemarle Corporation,Materials,Specialty Chemicals,SPX,False
ALGN,Align Technology,Health Care,Health Care Supplies,SPX,False
ALL,Allstate,Financials,Property & Casualty Insurance,SPX,False
ALLE,Allegion,Industrials,Building Products,SPX,False
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",,,NDX,False
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,SPX,True
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,SPX,False
AMD,Advanced Micro Devices,Information Technology,Semiconductors,SPX,True
AME,Ametek,Industrials,Electrical Components & Equipment,SPX,False
AMGN,Amgen,Health Care,Biotechnology,SPX,True
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,SPX,False
AMT,American Tower,Real Estate,Telecom Tower REITs,SPX,False
AMZN,Amazon,Consumer Discretionary,Broadline Retail,SPX,True
ANET,Arista Networks,Information Technology,Communications Equipment,SPX,False
AON,Aon plc,Financials,Insurance Brokers,SPX,False
AOS,A. O. Smith,Industrials,Building Products,SPX,False
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,SPX,False
APD,Air Products,Materials,Industrial Gases,SPX,False
APH,Amphenol,Information Technology,Electronic Components,SPX,False
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,SPX,False
APP,AppLovin,Communication Services,Advertising,SPX,True
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,SPX,False
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,SPX,False
ARES,Ares Management,Financials,Asset Management & Custody Banks,SPX,False
ARM,Arm Holdings plc American Depositary Shares,,,NDX,False
ASML,ASML Holding N.V. New York Registry Shares,,,NDX,False
ATO,Atmos Energy,Utilities,Gas Utilities,SPX,False
AVGO,Broadcom,Information Technology,Semiconductors,SPX,True
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,SPX,False
AWK,American Water Works,Utilities,Water Utilities,SPX,False
AXON,Axon Enterprise,Industrials,Aerospace & Defense,SPX,True
AXP,American Express,Financials,Consumer Finance,SPX,False
AZO,AutoZone,Consumer Discretionary,Automotive Retail,SPX,False
BA,Boeing,Industrials,Aerospace & Defense,SPX,False
BAC,Bank of America,Financials,Diversified Banks,SPX,False
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",SPX,False
BAX,Baxter International,Health Care,Health Care Equipment,SPX,False
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,SPX,False
BDX,Becton Dickinson,Health Care,Health Care Equipment,SPX,False
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,SPX,False
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,SPX,False
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,SPX,False
BIIB,Biogen,Health Care,Biotechnology,SPX,False
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SPX,True
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,SPX,True
BLDR,Builders FirstSource,Industrials,Building Products,SPX,False
BLK,BlackRock,Financials,Asset Management & Custody Banks,SPX,False
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,SPX,False
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,SPX,False
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,SPX,False
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,SPX,False
BRO,Brown & Brown,Financials,Insurance Brokers,SPX,False
BSX,Boston Scientific,Health Care,Health Care Equipment,SPX,False
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,SPX,False
BXP,"BXP, Inc.",Real Estate,Office REITs,SPX,False
C,Citigroup,Financials,Diversified Banks,SPX,False
CAH,Cardinal Health,Health Care,Health Care Distributors,SPX,False
CARR,Carrier Global,Industrials,Building Products,SPX,False
CASY,Casey's,Consumer Staples,Food Retail,SPX,False
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,SPX,False
CB,Chubb Limited,Financials,Property & Casualty Insurance,SPX,False
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,SPX,False
CBRE,CBRE Group,Real Estate,Real Estate Services,SPX,False
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,,,NDX,False
CCI,Crown Castle,Real Estate,Telecom Tower REITs,SPX,False
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",SPX,False
CDNS,Cadence Design Systems,Information Technology,Application Software,SPX,True
CDW,CDW Corporation,Information Technology,Technology Distributors,SPX,False
CEG,Constellation Energy,Utilities,Electric Utilities,SPX,True
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,SPX,False
CFG,Citizens Financial Group,Financials,Regional Banks,SPX,False
CHD,Church & Dwight,Consumer Staples,Household Products,SPX,False
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,SPX,False
CHTR,Charter Communications,Communication Services,Cable & Satellite,SPX,False
CI,Cigna,Health Care,Health Care Services,SPX,False
CIEN,Ciena,Information Technology,Communications Equipment,SPX,False
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,SPX,False
CL,Colgate-Palmolive,Consumer Staples,Household Products,SPX,False
CLX,Clorox,Consumer Staples,Household Products,SPX,False
CMCSA,Comcast,Communication Services,Cable & Satellite,SPX,True
CME,CME Group,Financials,Financial Exchanges & Data,SPX,False
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,SPX,False
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,SPX,False
CMS,CMS Energy,Utilities,Multi-Utilities,SPX,False
CNC,Centene Corporation,Health Care,Managed Health Care,SPX,False
CNP,CenterPoint Energy,Utilities,Multi-Utilities,SPX,False
COF,Capital One,Financials,Consumer Finance,SPX,False
COHR,Coherent Corp.,Information Technology,Electronic Components,SPX,False
COIN,Coinbase,Financials,Financial Exchanges & Data,SPX,False
COO,Cooper Companies (The),Health Care,Health Care Supplies,SPX,False
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,SPX,False
COR,Cencora,Health Care,Health Care Distributors,SPX,False
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,SPX,True
CPAY,Corpay,Financials,Transaction & Payment Processing Services,SPX,False
CPRT,Copart,Industrials,Diversified Support Services,SPX,True
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,SPX,False
CRH,CRH plc,Materials,Construction Materials,SPX,False
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,SPX,False
CRM,Salesforce,Information Technology,Application Software,SPX,False
CRWD,CrowdStrike,Information Technology,Systems Software,SPX,True
CRWV,"CoreWeave, Inc. Class A Common Stock",,,NDX,False
CSCO,Cisco,Information Technology,Communications Equipment,SPX,True
CSGP,CoStar Group,Real Estate,Real Estate Services,SPX,False
CSX,CSX Corporation,Industrials,Rail Transportation,SPX,True
CTAS,Cintas,Industrials,Diversified Support Services,SPX,True
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,SPX,False
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,SPX,False
CVNA,Carvana,Consumer Discretionary,Automotive Retail,SPX,False
CVS,CVS Health,Health Care,Health Care Services,SPX,False
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,SPX,False
D,Dominion Energy,Utilities,Multi-Utilities,SPX,False
DAL,Delta Air Lines,Industrials,Passenger Airlines,SPX,False
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,SPX,True
DD,DuPont,Industrials,Industrial Conglomerates,SPX,False
DDOG,Datadog,Information Technology,Application Software,SPX,True
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,SPX,False
DECK,Deckers Brands,Consumer Discretionary,Footwear,SPX,False
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",SPX,False
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,SPX,False
DGX,Quest Diagnostics,Health Care,Health Care Services,SPX,False
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,SPX,False
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,SPX,False
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,SPX,False
DLR,Digital Realty,Real Estate,Data Center REITs,SPX,False
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,SPX,False
DOC,Healthpeak Properties,Real Estate,Health Care REITs,SPX,False
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,SPX,False
DOW,Dow Inc.,Materials,Commodity Chemicals,SPX,False
DPZ,Domino's,Consumer Discretionary,Restaurants,SPX,False
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,SPX,False
DTE,DTE Energy,Utilities,Multi-Utilities,SPX,False
DUK,Duke Energy,Utilities,Electric Utilities,SPX,False
DVA,DaVita,Health Care,Health Care Services,SPX,False
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,SPX,False
DXCM,Dexcom,Health Care,Health Care Equipment,SPX,True
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,SPX,False
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,SPX,False
ECL,Ecolab,Materials,Specialty Chemicals,SPX,False
ED,Consolidated Edison,Utilities,Multi-Utilities,SPX,False
EFX,Equifax,Industrials,Research & Consulting Services,SPX,False
EG,Everest Group,Financials,Reinsurance,SPX,False
EIX,Edison International,Utilities,Electric Utilities,SPX,False
